,,Title,IP2 Regression,,,,
,,FPGA Release,version cc,,,,
,,Testbench (SVN tag),version_cc_original,,,,
,,Testbench (SVN tag location),svn://10.3.0.128/ip1x_fpga_vnv/tags/version_cc_original,,,,
,,Done by,Suresh Narayanan,,,,
,,Test start date,21-11-2014,,,,
,,Total Tests,194,,,,
,,Total Tests Passed,187,,,,
,,Total Tests Failed,7,,,,
,,Total Tests Not Complete,0,,,,
,,Total simulation time (approx),22:46:40,,,,
,,,,,,,
S.No.,Test Name, Test Status, Test Start Time, Test End Time, Test Run Time,Redmine/Jira ID,Bug Description
,,,,,,,
76,GLCK/IP2_gl_RNTSC29.97khzfreqMult1/,PASS,Sat 11/22/2014  2:46:03,Sat 11/22/2014  2:49:43,00:03:40,,
77,GLCK/IP2_gl_TgtHSLCblRemoval/,PASS,Sat 11/22/2014  2:49:43,Sat 11/22/2014  2:55:44,00:06:01,,
78,GLCK/IP2_gl_TgtHSLCblRemovalMult1/,PASS,Sat 11/22/2014  2:55:44,Sat 11/22/2014  3:01:38,00:05:54,,
79,GLCK/IP2_gl_TgtHSLIpPulseMissing/,PASS,Sat 11/22/2014  3:01:39,Sat 11/22/2014  3:07:10,00:05:31,,
80,GLCK/IP2_gl_TgtHSLMaxMinFreqChk/,FAIL,12-01-2014 12:45,12-01-2014 12:54,00:08:32,IPTWO-579,Improvement to Genlock stability debug
81,GLCK/IP2_gl_TgtHSLOnlyMultiplierChk/,PASS,Sat 11/22/2014  3:07:10,Sat 11/22/2014  3:10:51,00:03:41,,
82,GLCK/IP2_gl_TgtHSLOnlyToCat6Chk/,PASS,Sat 11/22/2014  3:10:51,Sat 11/22/2014  3:15:24,00:04:33,,
83,GLCK/IP2_gl_TgtHSLOnlyToCat6Mult1/,PASS,Sat 11/22/2014  3:15:25,Sat 11/22/2014  3:19:04,00:03:39,,
84,GLCK/IP2_gl_TgtHSLOnlyToCat6PAL/,PASS,Sat 11/22/2014  3:19:04,Sat 11/22/2014  3:23:37,00:04:33,,
85,GLCK/IP2_gl_TgtHSLOnlyToCat6PALMult1/,PASS,Sat 11/22/2014  3:23:37,Sat 11/22/2014  3:27:17,00:03:40,,
86,GLCK/IP2_gl_TgtHSLOnlyToCat6RNTSC/,PASS,Sat 11/22/2014  3:27:17,Sat 11/22/2014  3:31:52,00:04:35,,
